product_id,category,color1,color2,color3,color4,color5
1,T-shirt/top|Pullover|Shirt,Silver,Thistle,Tan,Dark Gray,Lightsteel Blue
2,T-shirt/top|Pullover|Shirt,Gray,Slate Gray,Light Slate Gray,Dim Gray,Steel Blue
3,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Silver,Tan,Lightsteel Blue
4,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Tan,Silver,Dark Salmon
5,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Tan,Dark Sea Green,Cadet Blue
6,T-shirt/top|Pullover|Shirt,Peru,Dark Salmon,Sandy Brown,Dark Goldenrod,Light Salmon
7,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Light Slate Gray,Pale Violet Red,Indian Red
8,T-shirt/top|Pullover|Shirt,Dim Gray,Gray,Slate Gray,Light Slate Gray,Teal
9,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Gray,Light Slate Gray,Cadet Blue
10,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Light Slate Gray,Pale Violet Red,Dark Gray
11,T-shirt/top|Pullover|Shirt,Silver,Dark Gray,Thistle,Lightsteel Blue,Tan
12,T-shirt/top|Pullover|Shirt,Dark Salmon,Tan,Light Salmon,Rosy Brown,Burly Wood
13,T-shirt/top|Pullover|Shirt,Light Gray,Silver,Gainsboro,Thistle,Light Blue
14,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Dark Salmon,Tan,Light Coral
15,T-shirt/top|Pullover|Shirt,Light Slate Gray,Slate Gray,Gray,Cadet Blue,Steel Blue
16,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Light Slate Gray,Cadet Blue,Gray
17,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Tan,Dark Salmon,Gray
18,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Light Slate Gray,Cadet Blue,Gray
19,T-shirt/top|Pullover|Shirt,Light Gray,Gainsboro,Powder Blue,Misty Rose,Peachpuff
20,T-shirt/top|Pullover|Shirt,Gray,Slate Gray,Dim Gray,Light Slate Gray,Steel Blue
21,T-shirt/top|Pullover|Shirt,Dark Salmon,Rosy Brown,Light Coral,Salmon,Light Salmon
22,T-shirt/top|Pullover|Shirt,Gray,Dim Gray,Slate Gray,Light Slate Gray,Rosy Brown
23,T-shirt/top|Pullover|Shirt,Plum,Dark Gray,Rosy Brown,Light Slate Gray,Cornflower Blue
24,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Dark Gray,Light Slate Gray,Slate Gray
25,T-shirt/top|Pullover|Shirt,Dark Gray,Tan,Rosy Brown,Silver,Dark Salmon
26,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Slate Gray,Cadet Blue,Dim Gray
27,T-shirt/top|Pullover|Shirt,Dark Gray,Cadet Blue,Light Slate Gray,Lightsteel Blue,Deepsky Blue
28,T-shirt/top|Pullover|Shirt,Tan,Dark Gray,Silver,Burly Wood,Rosy Brown
29,T-shirt/top|Pullover|Shirt,Rosy Brown,Gray,Light Slate Gray,Dark Gray,Slate Gray
30,T-shirt/top|Pullover|Shirt,Dark Gray,Thistle,Silver,Rosy Brown,Plum
31,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Rosy Brown,Slate Gray,Cadet Blue
32,T-shirt/top|Pullover|Shirt,Dark Slate Gray,Dim Gray,Darkolive Green,Teal,Gray
33,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Light Slate Gray,Cadet Blue,Gray
34,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Tan,Lightsteel Blue,Thistle
35,T-shirt/top|Pullover|Shirt,Dim Gray,Gray,Slate Gray,Dark Slate Gray,Darkolive Green
36,T-shirt/top|Pullover|Shirt,Silver,Light Gray,Tan,Thistle,Burly Wood
37,T-shirt/top|Pullover|Shirt,Tan,Burly Wood,Dark Salmon,Light Salmon,Silver
38,T-shirt/top|Pullover|Shirt,Light Gray,Silver,Thistle,Gainsboro,Pink
39,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Tan,Silver,Thistle
40,T-shirt/top|Pullover|Shirt,Silver,Lightsteel Blue,Thistle,Light Gray,Dark Gray
41,T-shirt/top|Pullover|Shirt,Light Slate Gray,Rosy Brown,Gray,Cadet Blue,Dark Gray
42,T-shirt/top|Pullover|Shirt,Indian Red,Tomato,Chocolate,Salmon,Light Coral
43,T-shirt/top|Pullover|Shirt,Silver,Tan,Burly Wood,Pink,Light Pink
44,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Light Slate Gray,Cadet Blue,Gray
45,T-shirt/top|Pullover|Shirt,Silver,Tan,Dark Gray,Thistle,Lightsteel Blue
46,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Dark Salmon,Tan,Gray
47,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Dark Salmon,Light Coral,Tan
48,T-shirt/top|Pullover|Shirt,Dark Gray,Tan,Rosy Brown,Silver,Burly Wood
49,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Silver,Cadet Blue,Lightsteel Blue
50,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Cadet Blue,Silver,Light Slate Gray
51,T-shirt/top|Pullover|Shirt,Dim Gray,Gray,Slate Gray,Light Slate Gray,Darkolive Green
52,T-shirt/top|Pullover|Shirt,Tan,Dark Gray,Silver,Burly Wood,Dark Khaki
53,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Silver,Tan,Cadet Blue
54,T-shirt/top|Pullover|Shirt,Silver,Lightsteel Blue,Thistle,Light Gray,Light Blue
55,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Tan,Lightsteel Blue,Thistle
56,T-shirt/top|Pullover|Shirt,Light Slate Gray,Slate Gray,Gray,Steel Blue,Cadet Blue
57,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Silver,Tan,Burly Wood
58,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Dark Salmon,Tan,Light Coral
59,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Tan,Lightsteel Blue,Rosy Brown
60,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Tan,Rosy Brown,Lightsteel Blue
61,T-shirt/top|Pullover|Shirt,Light Slate Gray,Gray,Slate Gray,Rosy Brown,Cadet Blue
62,T-shirt/top|Pullover|Shirt,Dark Gray,Tan,Silver,Dark Sea Green,Burly Wood
63,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Gray,Dark Salmon,Light Slate Gray
64,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Light Slate Gray,Cadet Blue,Gray
65,T-shirt/top|Pullover|Shirt,Light Slate Gray,Gray,Slate Gray,Cadet Blue,Rosy Brown
66,T-shirt/top|Pullover|Shirt,Silver,Light Gray,Pink,Thistle,Tan
67,T-shirt/top|Pullover|Shirt,Indian Red,Light Coral,Salmon,Peru,Rosy Brown
68,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Cadet Blue,Light Slate Gray,Silver
69,T-shirt/top|Pullover|Shirt,Dark Gray,Silver,Thistle,Lightsteel Blue,Tan
70,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Gray,Light Slate Gray,Cadet Blue
71,T-shirt/top|Pullover|Shirt,Silver,Light Gray,Thistle,Gainsboro,Lightsteel Blue
72,T-shirt/top|Pullover|Shirt,Dark Slate Gray,Dim Gray,Darkolive Green,Teal,Gray
73,T-shirt/top|Pullover|Shirt,Dark Gray,Cadet Blue,Light Slate Gray,Rosy Brown,Gray
74,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Light Slate Gray,Cadet Blue,Gray
75,T-shirt/top|Pullover|Shirt,Gray,Light Slate Gray,Rosy Brown,Slate Gray,Cadet Blue
76,T-shirt/top|Pullover|Shirt,Gainsboro,Lavender,Light Gray,Powder Blue,Light Blue
77,T-shirt/top|Pullover|Shirt,Dark Gray,Rosy Brown,Cadet Blue,Light Slate Gray,Silver
78,T-shirt/top|Pullover|Shirt,Peru,Light Coral,Indian Red,Salmon,Dark Salmon
79,T-shirt/top|Pullover|Shirt,Rosy Brown,Dark Gray,Gray,Light Slate Gray,Cadet Blue
